iter	Passed	Remaining
1332	873	2403
1333	874	2402
1334	875	2402
1335	875	2401
1336	876	2401
1337	876	2400
1338	877	2399
1339	878	2398
1340	878	2397
1341	879	2396
1342	879	2395
1343	880	2394
1344	881	2394
1345	881	2393
1346	882	2392
1347	882	2391
1348	883	2390
1349	883	2390
1350	884	2389
1351	885	2388
1352	885	2387
1353	886	2386
1354	886	2385
1355	887	2384
1356	887	2383
1357	888	2382
1358	888	2381
1359	889	2380
1360	889	2379
1361	890	2378
1362	891	2377
1363	891	2376
1364	892	2375
1365	892	2374
1366	893	2373
1367	893	2372
1368	894	2372
1369	895	2371
1370	895	2370
1371	896	2369
1372	896	2369
1373	897	2368
1374	897	2367
1375	898	2366
1376	899	2365
1377	899	2364
1378	900	2364
1379	900	2363
1380	901	2362
1381	902	2361
1382	902	2360
1383	903	2359
1384	903	2358
1385	904	2357
1386	904	2357
1387	905	2356
1388	906	2355
1389	906	2354
1390	907	2353
1391	907	2352
1392	908	2352
1393	908	2351
1394	909	2350
1395	910	2349
1396	910	2348
1397	911	2347
1398	911	2346
1399	912	2345
1400	912	2344
1401	913	2343
1402	913	2342
1403	914	2342
1404	915	2341
1405	915	2340
1406	916	2339
1407	916	2339
1408	917	2338
1409	917	2337
1410	918	2336
1411	919	2335
1412	919	2334
1413	920	2333
1414	920	2332
1415	921	2332
1416	921	2331
1417	922	2330
1418	923	2329
1419	923	2328
1420	924	2327
1421	924	2326
1422	925	2325
1423	925	2325
1424	926	2324
1425	926	2323
1426	927	2322
1427	928	2321
1428	928	2320
1429	929	2319
1430	929	2318
1431	930	2318
1432	930	2317
1433	931	2316
1434	932	2315
1435	932	2315
1436	933	2314
1437	933	2313
1438	934	2312
1439	935	2311
1440	935	2310
1441	936	2309
1442	936	2309
1443	937	2308
1444	937	2307
1445	938	2306
1446	939	2306
1447	939	2305
1448	940	2304
1449	940	2303
1450	941	2302
1451	942	2302
1452	942	2301
1453	943	2300
1454	943	2299
1455	944	2299
1456	945	2298
1457	945	2297
1458	946	2296
1459	946	2295
1460	947	2295
1461	948	2294
1462	948	2293
1463	949	2292
1464	949	2291
1465	950	2291
1466	951	2290
1467	951	2289
1468	952	2288
1469	952	2287
1470	953	2287
1471	953	2286
1472	954	2285
1473	955	2284
1474	955	2283
1475	956	2282
1476	957	2283
1477	958	2283
1478	958	2282
1479	959	2281
1480	959	2280
1481	960	2279
1482	960	2279
1483	961	2278
1484	962	2277
1485	962	2276
1486	963	2276
1487	964	2275
1488	964	2274
1489	965	2274
1490	965	2273
1491	966	2272
1492	967	2271
1493	967	2270
1494	968	2269
1495	968	2269
1496	969	2268
1497	970	2267
1498	970	2267
1499	971	2266
1500	971	2265
1501	972	2265
1502	973	2264
1503	973	2263
1504	974	2262
1505	975	2262
1506	975	2261
1507	976	2260
1508	976	2259
1509	977	2258
1510	977	2258
1511	978	2257
1512	979	2256
1513	979	2256
1514	980	2255
1515	980	2254
1516	981	2253
1517	982	2252
1518	982	2251
1519	983	2251
1520	983	2250
1521	984	2249
1522	985	2249
1523	985	2248
1524	986	2247
1525	986	2246
1526	987	2245
1527	987	2244
1528	988	2243
1529	988	2242
1530	989	2242
1531	990	2241
1532	990	2240
1533	991	2239
1534	991	2238
1535	992	2238
1536	992	2237
1537	993	2236
1538	994	2235
